Link;Image;Name;Release date;Weight;OS;Storage;Fans;Popularity;Hits;Screen_size;Screen_resolution;RAM;SOC;Battery;net2g;gprstext;edge;year;status;dimensions;weight;sim;displaytype;displaysize;displayresolution;displayother;memoryslot;cam1modules;cam1video;cam2modules;wlan;bluetooth;gps;radio;usb;sensors;featuresother;batdescription1;batstandby1;battalktime1;colors
https://www.gsmarena.com/maxon_mx_c90-596.php;https://fdn2.gsmarena.com/vv/bigpic/mac90.gif;Maxon MX-C90;Released 2003;82g, 23mm thickness;Feature phone;No card slot;8;N/A;155,500 hits;;128x128 pixels; ;;720 mAh Li-Ion;GSM 900 / 1800;Yes;No;2003;Discontinued;83 x 47 x 23 mm (3.27 x 1.85 x 0.91 in);82 g (2.89 oz);Mini-SIM;TFT, 65K colors;;128 x 128 pixels, 1:1 ratio;Wallpaper;No;VGA;No;No;No;No;No;No;;;Predictive text inputOrganizer;Removable Li-Ion battery;Up to 200 h;Up to 3 h;
https://www.gsmarena.com/maxon_mx_c80-597.php;https://fdn2.gsmarena.com/vv/bigpic/mac80.gif;Maxon MX-C80;Released 2003, Q4;85g, 20.8mm thickness;Feature phone;No card slot;7;N/A;106,836 hits;;128x160 pixels; ;;720 mAh Li-Ion;GSM 900 / 1800;Yes;No;2003, Q4;Discontinued;84 x 43.7 x 20.8 mm (3.31 x 1.72 x 0.82 in);85 g (3.00 oz);Mini-SIM;TFT, 65K colors;;128 x 160 pixels;Second external display, 256 colorsWallpaper;No;VGA;No;No;No;No;No;No;;;Predictive text inputOrganizer;Removable Li-Ion battery;Up to 75 h;Up to 6 h;
https://www.gsmarena.com/maxon_mx_c180-598.php;https://fdn2.gsmarena.com/vv/bigpic/mac180.gif;Maxon MX-C180;Released 2003, Q4;85g, 20.8mm thickness;Feature phone;No card slot;8;N/A;111,625 hits;;128x160 pixels; ;;720 mAh Li-Ion;GSM 900 / 1800;Yes;No;2003, Q4;Discontinued;84 x 43.7 x 20.8 mm (3.31 x 1.72 x 0.82 in);85 g (3.00 oz);Mini-SIM;TFT, 65K colors;;128 x 160 pixels;Second external OLED display, 256 colorsWallpaper;No;VGA;No;No;No;No;No;No;;;Predictive text inputOrganizer;Removable Li-Ion battery;Up to 75 h;Up to 6 h;
https://www.gsmarena.com/maxon_mx_a30-731.php;https://fdn2.gsmarena.com/vv/bigpic/maa30.gif;Maxon MX-A30;Released 2004;90g, 22.4mm thickness;Feature phone;No card slot;5;N/A;90,477 hits;;128x160 pixels; ;;850 mAh Li-Ion;GSM 900 / 1800;Class 8;No;2004;Discontinued;90 x 48.5 x 22.4 mm (3.54 x 1.91 x 0.88 in);90 g (3.17 oz);Mini-SIM;TFT, 65K colors;;128 x 160 pixels;7 color LED indicatorWallpaperDownloadable logos;No;Yes;No;No;No;No;No;No;;;Predictive text inputOrganizer;Removable Li-Ion battery;Up to 150 h;Up to 4 h;
https://www.gsmarena.com/maxon_mx_c60-580.php;https://fdn2.gsmarena.com/vv/bigpic/mac60.gif;Maxon MX-C60;Released 2003;85g, 22.9mm thickness;Feature phone;No card slot;7;N/A;88,206 hits;;128x128 pixels, 8 lines; ;;900 mAh Li-Ion;GSM 900 / 1800 / 1900;Yes;No;2003;Discontinued;80 x 45 x 22.9 mm (3.15 x 1.77 x 0.90 in);85 g (3.00 oz);Mini-SIM;CSTN, 65K colors;;128 x 128 pixels, 8 lines, 1:1 ratio;Second external displayWallpaper;No;No;;;No;No;No;No;;;Predictive text input;Removable Li-Ion 900 mAh battery;Up to 200 h;Up to 3 h;
https://www.gsmarena.com/maxon_mx_c20-581.php;https://fdn2.gsmarena.com/vv/bigpic/mac20.gif;Maxon MX-C20;Released 2003;90g, 23mm thickness;Feature phone;No card slot;8;N/A;87,878 hits;;128x160 pixels, 7 lines; ;;;GSM 900 / 1800;Yes;No;2003;Discontinued;91 x 46 x 23 mm (3.58 x 1.81 x 0.91 in);90 g (3.17 oz);Mini-SIM;CSTN, 65K colors;;128 x 160 pixels, 7 lines;Second external display ( orange LCD )Wallpaper;No;Yes;No;No;No;No;No;No;Proprietary;;Sync MLPredictive text inputOrganizer;Removable Li-Po battery;Up to 150 h;Up to 3 h;
https://www.gsmarena.com/maxon_mx_c110-732.php;https://fdn2.gsmarena.com/vv/bigpic/mac110.gif;Maxon MX-C110;Released 2004;85g, 21mm thickness;Feature phone;No card slot;6;N/A;80,770 hits;;-; ;;850 mAh Li-Ion;GSM 900 / 1800 / 1900;Yes;No;2004;Discontinued;86 x 46 x 21 mm (3.39 x 1.81 x 0.83 in);85 g (3.00 oz);Mini-SIM;65K colors;;-;WallpaperDownloadable logos;No;VGA;No;No;No;No;No;No;;;eZiOrganizer;Removable Li-Ion battery;Up to 150 h;Up to 4 h;
https://www.gsmarena.com/maxon_mx_e10-579.php;https://fdn2.gsmarena.com/vv/bigpic/mae10.gif;Maxon MX-E10;Released 2003;90g, 22.6mm thickness;Feature phone;No card slot;7;N/A;100,885 hits;;176x220 pixels, 10 lines; ;;1000 mAh Li-Ion;GSM 900 / 1800 / 1900;Yes;No;2003;Discontinued;91 x 48 x 22.6 mm (3.58 x 1.89 x 0.89 in);90 g (3.17 oz);Mini-SIM;TFT, 65K colors;;176 x 220 pixels, 10 lines;Second external display 4K CSTNWallpaper;No;Yes;No;No;No;No;No;FM radio;Proprietary;;Predictive text inputSync MLOrganizer;Removable Li-Ion battery;Up to 200 h;Up to 2 h 30 min;
https://www.gsmarena.com/maxon_mx_v10-734.php;https://fdn2.gsmarena.com/vv/bigpic/mav10.gif;Maxon MX-V10;Released 2004;67g, 20.5mm thickness;Feature phone;No card slot;6;N/A;84,644 hits;;128x128 pixels; ;;850 mAh Li-Ion;GSM 900 / 1800;Class 8;No;2004;Discontinued;78 x 37 x 20.5 mm (3.07 x 1.46 x 0.81 in);67 g (2.36 oz);Mini-SIM;STN, 65K colors;;128 x 128 pixels, 1:1 ratio;Second external 4096 colors OLED displayWallpaperDownloadable logos;No;No;;;No;No;No;No;;;Predictive text inputOrganizer;Removable Li-Ion battery;Up to 150 h;Up to 4 h;
https://www.gsmarena.com/maxon_mx_v30-733.php;https://fdn2.gsmarena.com/vv/bigpic/mav30.gif;Maxon MX-V30;Released 2004;80g, 21mm thickness;Feature phone;No card slot;5;N/A;83,337 hits;;-; ;;850 mAh Li-Ion;GSM 900 / 1800 / 1900;Yes;No;2004;Discontinued;81 x 43 x 21 mm (3.19 x 1.69 x 0.83 in);80 g (2.82 oz);Mini-SIM;TFT, 65K colors;;-;Second external 4096 colors OLED displayWallpaperDownloadable logos;No;No;;;No;No;No;No;;;eZiOrganizer;Removable Li-Ion battery;Up to 150 h;Up to 4 h;
https://www.gsmarena.com/maxon_mx_e80-730.php;https://fdn2.gsmarena.com/vv/bigpic/mae80.gif;Maxon MX-E80;Cancelled;;Feature phone;No card slot;5;N/A;135,370 hits;;-; ;;850 mAh Li-Ion;GSM 900 / 1800 / 1900;Yes;No;2004;Cancelled;;;Mini-SIM;65K colors;;-;WallpaperDownloadable logos;No;VGA;No;No;No;No;No;No;;;Predictive text inputOrganizer;Removable Li-Ion battery;;;
https://www.gsmarena.com/maxon_mx_7990-582.php;https://fdn2.gsmarena.com/vv/bigpic/ma7990.gif;Maxon MX-7990;Released 2003;67g, 20.5mm thickness;Feature phone;No card slot;7;N/A;108,448 hits;;128x128 pixels, 8 lines; ;;900 mAh Li-Ion;GSM 900 / 1800;Yes;No;2003;Discontinued;78 x 37 x 20.5 mm (3.07 x 1.46 x 0.81 in);67 g (2.36 oz);Mini-SIM;65K colors;;128 x 128 pixels, 8 lines, 1:1 ratio;Second external display OLEDWallpaper;No;No;;;No;No;No;No;Proprietary;;Predictive text inputSync ML;Removable Li-Ion 900 mAh battery;Up to 200 h;Up to 3 h;
https://www.gsmarena.com/maxon_mx_7750-736.php;https://fdn2.gsmarena.com/vv/bigpic/ma7750.gif;Maxon MX-7750;Released 2004;81g, 21mm thickness;Feature phone;No card slot;5;N/A;85,023 hits;;-; ;;720 mAh Li-Ion;GSM 900 / 1800;Yes;No;2004;Discontinued;85 x 45 x 21 mm (3.35 x 1.77 x 0.83 in);81 g (2.86 oz);Mini-SIM;65K colors;;-;Wallpaper;No;No;;;No;No;No;No;;;ZiOrganizer;Removable Li-Ion battery;Up to 150 h;Up to 4 h;
https://www.gsmarena.com/maxon_mx_c11-737.php;https://fdn2.gsmarena.com/vv/bigpic/mac11.gif;Maxon MX-C11;Released 2004;81g, 21mm thickness;Feature phone;No card slot;5;N/A;78,355 hits;;128x128 pixels; ;;720 mAh Li-Ion;GSM 900 / 1800;Class 8;No;2004;Discontinued;85 x 45 x 21 mm (3.35 x 1.77 x 0.83 in);81 g (2.86 oz);Mini-SIM;65K colors;;128 x 128 pixels, 1:1 ratio;3 color LED indicatorWallpaper;No;No;;;No;No;No;No;;;Predictive text inputOrganizer;Removable Li-Ion battery;Up to 150 h;Up to 4 h;
https://www.gsmarena.com/maxon_mx_c160-738.php;https://fdn2.gsmarena.com/vv/bigpic/mac160.gif;Maxon MX-C160;Released 2004;59g, 22mm thickness;Feature phone;No card slot;7;N/A;95,531 hits;;-; ;;720 mAh Li-Ion;GSM 900 / 1800;Class 8;No;2004;Discontinued;65 x 37 x 22 mm (2.56 x 1.46 x 0.87 in);59 g (2.08 oz);Mini-SIM;4096 colors;;-;Second external display (80 x 50 pixels)7 color LED Indicator;No;No;;;No;No;No;No;;;Predictive text inputOrganizer;Removable Li-Ion battery;Up to 150 h;Up to 5 h;
https://www.gsmarena.com/maxon_mx_7940-583.php;https://fdn2.gsmarena.com/vv/bigpic/ma7940.gif;Maxon MX-7940;Released 2003;85g, 24mm thickness;Feature phone;No card slot;5;N/A;75,601 hits;;128x128 pixels, 8 lines; ;;900 mAh Li-Ion;GSM 900 / 1800;Yes;No;2003;Discontinued;80 x 45 x 24 mm (3.15 x 1.77 x 0.94 in);85 g (3.00 oz);Mini-SIM;UFB, 65K colors;;128 x 128 pixels, 8 lines, 1:1 ratio;Second external displayWallpaper;No;No;;;No;No;No;No;Proprietary;;Predictive text inputSync MLVoice dialOrganizer;Removable Li-Ion 900 mAh battery;Up to 200 h;Up to 3 h;
https://www.gsmarena.com/maxon_mx_7920-729.php;https://fdn2.gsmarena.com/vv/bigpic/ma7920.gif;Maxon MX-7920;Released 2003;59g, 22.1mm thickness;Feature phone;No card slot;7;N/A;101,025 hits;;128x128 pixels, 7 lines; ;;850 mAh Li-Ion;GSM 900 / 1800;Class 8;No;2003;Discontinued;64.9 x 37 x 22.1 mm (2.56 x 1.46 x 0.87 in);59 g (2.08 oz);Mini-SIM;Grayscale graphic, 4 shades;;128 x 128 pixels, 7 lines, 1:1 ratio;Second external displayWallpaper;No;No;;;No;No;No;No;;;Predictive text inputSync MLOrganizer;Removable Li-Ion battery;Up to 200 h;Up to 3 h 30 min;
https://www.gsmarena.com/maxon_mx_7830-584.php;https://fdn2.gsmarena.com/vv/bigpic/ma7830.gif;Maxon MX-7830;Released 2003;95g, 19mm thickness;Feature phone;No card slot;6;N/A;86,754 hits;;128x160 pixels, 11 lines; ;;900 mAh Li-Ion;GSM 900 / 1800;Yes;No;2003;Discontinued;113 x 47 x 19 mm (4.45 x 1.85 x 0.75 in);95 g (3.35 oz);Mini-SIM;65K colors;;128 x 160 pixels, 11 lines;Second external displayWallpaper;No;No;;;No;No;No;No;Proprietary;;Predictive text inputSync MLVoice dialOptional digital cameraOrganizer;Removable Li-Ion 900 mAh battery;Up to 200 h;Up to 5 h;
https://www.gsmarena.com/maxon_mx_7600-585.php;https://fdn2.gsmarena.com/vv/bigpic/ma7600.gif;Maxon MX-7600;Released 2003;80g, 21mm thickness;Feature phone;No card slot;5;N/A;75,556 hits;;128x160 pixels, 6 lines; ;;600 mAh Li-Ion;GSM 900 / 1800;Class 8;No;2003;Discontinued;85 x 46 x 21 mm (3.35 x 1.81 x 0.83 in);80 g (2.82 oz);Mini-SIM;TFT, 65K colors;;128 x 160 pixels, 6 lines;7 color LED on the front coverWallpaper, screensaver;No;No;;;No;No;No;No;Proprietary;;Predictive text inputHi-Fi soundsOptional digital camera;Removable Li-Ion 600 mAh battery;Up to 200 h;Up to 5 h;
https://www.gsmarena.com/maxon_mx_6899-180.php;https://fdn2.gsmarena.com/vv/bigpic/ma6899b.gif;Maxon MX-6899;Released 2000;130g, 22mm thickness;Feature phone;No card slot;6;N/A;85,218 hits;;4x12 chars; ;;600 mAh NiMH;GSM 900;No;No;2000;Discontinued;109 x 43 x 22 mm (4.29 x 1.69 x 0.87 in);130 g (4.59 oz);Mini-SIM;Monochrome graphic;;4 x 12 chars;Fixed icons;No;No;;;No;No;No;No;;;Predictive text input;Removable NiMH 600 mAh battery;100 h;4 h;5
https://www.gsmarena.com/maxon_mx_6877-179.php;https://fdn2.gsmarena.com/vv/bigpic/ma6877b.gif;Maxon MX-6877;Released 2000;135g, 22mm thickness;Feature phone;No card slot;5;N/A;48,065 hits;;4x12 chars; ;;600 mAh NiMH;GSM 900;No;No;2000;Discontinued;110 x 43 x 22 mm (4.33 x 1.69 x 0.87 in);135 g (4.76 oz);Mini-SIM;Monochrome graphic;;4 x 12 chars;Fixed icons;No;No;;;No;No;No;No;;;Predictive text input;Removable NiMH 600 mAh battery;100 h;4 h;5
https://www.gsmarena.com/maxon_mx_6879-178.php;https://fdn2.gsmarena.com/vv/bigpic/ma6879b.gif;Maxon MX-6879;Released 2000;135g, 22mm thickness;Feature phone;No card slot;6;N/A;54,317 hits;;4x12 chars; ;;600 mAh NiMH;GSM 900;No;No;2000;Discontinued;110 x 43 x 22 mm (4.33 x 1.69 x 0.87 in);135 g (4.76 oz);Mini-SIM;Monochrome graphic;;4 x 12 chars;Fixed icons;No;No;;;No;No;No;No;;;Predictive text input;Removable NiMH 600 mAh battery;100 h;4 h;
https://www.gsmarena.com/maxon_mx_6869-177.php;https://fdn2.gsmarena.com/vv/bigpic/ma6869b.gif;Maxon MX-6869;Released 2000;135g, 20mm thickness;Feature phone;No card slot;9;N/A;65,983 hits;;4x12 chars; ;;600 mAh NiMH;GSM 900;No;No;2000;Discontinued;110 x 43 x 20 mm (4.33 x 1.69 x 0.79 in);135 g (4.76 oz);Mini-SIM;Monochrome graphic;;4 x 12 chars;Fixed icons;No;No;;;No;No;No;No;;;Predictive text input;Removable NiMH 600 mAh battery;100 h;4 h;
https://www.gsmarena.com/maxon_mx_6815-176.php;https://fdn2.gsmarena.com/vv/bigpic/ma6815b.gif;Maxon MX-6815;Released 1999;96g, 23mm thickness;Feature phone;No card slot;5;N/A;49,529 hits;;4x12 chars; ;;850 mAh NiMH;GSM 900;No;No;1999;Discontinued;110 x 46 x 23 mm (4.33 x 1.81 x 0.91 in);96 g (3.39 oz);Mini-SIM;Monochrome graphic;;4 x 12 chars;Fixed icons;No;No;;;No;No;No;No;;;Predictive text input;Removable NiMH 850 mAh battery;130 h;3 h;
https://www.gsmarena.com/maxon_mx_6814-175.php;https://fdn2.gsmarena.com/vv/bigpic/ma6814b.gif;Maxon MX-6814;Released 1999;96g, 23mm thickness;Feature phone;No card slot;5;N/A;52,028 hits;;4x12 chars; ;;850 mAh NiMH;GSM 900;No;No;1999;Discontinued;110 x 46 x 23 mm (4.33 x 1.81 x 0.91 in);96 g (3.39 oz);Mini-SIM;Monochrome graphic;;4 x 12 chars;Fixed icons;No;No;;;No;No;No;No;;;Predictive text input;Removable NiMH 850 mAh battery;130 h;3 h;
https://www.gsmarena.com/maxon_mx_6811-174.php;https://fdn2.gsmarena.com/vv/bigpic/ma6811b.gif;Maxon MX-6811;Released 1999;96g, 23mm thickness;Feature phone;No card slot;7;N/A;46,970 hits;;4x12 chars; ;;550 mAh NiMH;GSM 900 / 1800;No;No;1999;Discontinued;110 x 46 x 23 mm (4.33 x 1.81 x 0.91 in);96 g (3.39 oz);Mini-SIM;Monochrome graphic;;4 x 12 chars;Fixed icons;No;No;;;No;No;No;No;;;Predictive text input;Removable NiMH 550 mAh battery;100 h;5 h;6
https://www.gsmarena.com/maxon_mx_6810-173.php;https://fdn2.gsmarena.com/vv/bigpic/ma6810b.gif;Maxon MX-6810;Released 1999;96g, 20mm thickness;Feature phone;No card slot;7;N/A;53,723 hits;;4x12 chars; ;;550 mAh NiMH;GSM 900 / 1800;No;No;1999;Discontinued;110 x 46 x 20 mm (4.33 x 1.81 x 0.79 in);96 g (3.39 oz);Mini-SIM;Monochrome graphic;;4 x 12 chars;Fixed icons;No;No;;;No;No;No;No;;;Predictive text input;Removable NiMH 550 mAh battery;100 h;5 h;6
https://www.gsmarena.com/maxon_mx_6805-172.php;https://fdn2.gsmarena.com/vv/bigpic/ma6805b.gif;Maxon MX-6805;Released 1999;135g, 21mm thickness;Feature phone;No card slot;6;N/A;48,365 hits;;4x12 chars; ;;600 mAh NiMH;GSM 900;No;No;1999;Discontinued;109 x 43 x 21 mm (4.29 x 1.69 x 0.83 in);135 g (4.76 oz);Mini-SIM;Monochrome graphic;;4 x 12 chars;Fixed icons;No;No;;;No;No;No;No;;;Predictive text input;Removable NiMH 600 mAh battery;100 h;4 h;4
https://www.gsmarena.com/maxon_mx_6804-171.php;https://fdn2.gsmarena.com/vv/bigpic/ma6804b.gif;Maxon MX-6804;Released 1999;135g, 20mm thickness;Feature phone;No card slot;6;N/A;53,918 hits;;4x12 chars; ;;600 mAh NiMH;GSM 900;No;No;1999;Discontinued;109 x 43 x 20 mm (4.29 x 1.69 x 0.79 in);135 g (4.76 oz);Mini-SIM;Monochrome graphic;;4 x 12 chars;Fixed icons;No;No;;;No;No;No;No;;;Predictive text input;Removable NiMH 600 mAh battery;100 h;4 h;4
https://www.gsmarena.com/maxon_mx_3205f-170.php;https://fdn2.gsmarena.com/vv/bigpic/ma3205b.gif;Maxon MX-3205F;Released 1999;170g, 21mm thickness;Feature phone;No card slot;6;N/A;55,324 hits;;4x12 chars; ;;600 mAh NiMH;GSM 900;No;No;1999;Discontinued;131 x 45 x 21 mm (5.16 x 1.77 x 0.83 in);170 g (6.00 oz);Mini-SIM;Monochrome graphic;;4 x 12 chars;Fixed icons;No;No;;;No;No;No;No;;;;Removable NiMH 600 mAh battery;50 h;2 h;4
https://www.gsmarena.com/maxon_mx_3204-169.php;https://fdn2.gsmarena.com/vv/bigpic/ma3204b.gif;Maxon MX-3204;Released 1999;170g, 21mm thickness;Feature phone;No card slot;10;N/A;88,040 hits;;4x12 chars; ;;600 mAh NiMH;GSM 900;No;No;1999;Discontinued;131 x 45 x 21 mm (5.16 x 1.77 x 0.83 in);170 g (6.00 oz);Mini-SIM;Monochrome graphic;;4 x 12 chars;Fixed icons;No;No;;;No;No;No;No;;;;Removable NiMH 600 mAh battery;50 h;2 h;5
