Link;Image;Name;Release date;Weight;OS;Storage;Fans;Popularity;Hits;Screen_size;Screen_resolution;RAM;SOC;Battery;net2g;gprstext;edge;year;status;dimensions;weight;sim;displaytype;displaysize;displayresolution;memoryslot;internalmemory;cam1modules;cam1video;cam2modules;wlan;bluetooth;gps;nfc;radio;usb;sensors;featuresother;batdescription1;batstandby1;battalktime1;colors;net3g;speed;os;chipset;cpu;gpu;cam1features;bodyother
https://www.gsmarena.com/parla_minu_p124-7916.php;https://fdn2.gsmarena.com/vv/bigpic/parla-minu-p124.jpg;Parla Minu P124;Released 2016, February;83g, 13mm thickness;Feature phone;4MB 4MB RAM storage, microSDHC slot;0;N/A;72,743 hits;"1.8""";128x160 pixels;4 MB RAM;;600 mAh Li-Ion;GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2;Yes;No;2015, November. Released 2016, February;Discontinued;112 x 48.5 x 13 mm (4.41 x 1.91 x 0.51 in);83 g (2.93 oz);Dual SIM (Mini-SIM);TFT, 256K colors;1.8 inches, 10.2 cm(~18.8% screen-to-body ratio);128 x 160 pixels (~114 ppi density);microSDHC (dedicated slot);4MB 4MB RAM;VGA;Yes;No;No;2.1;No;No;Stereo FM radio;microUSB 2.0;;Music playerVideo playerOrganizer;Li-Ion 600 mAh, removable;Up to 200 h;Up to 4 h;Black, White;;;;;;;;
https://www.gsmarena.com/parla_sonic_3_5s-7423.php;https://fdn2.gsmarena.com/vv/bigpic/parla-sonic-35s.jpg;Parla Sonic 3.5S;Released 2015, July;98g, 11.7mm thickness;Android 4.4;512MB 256MB RAM storage, microSDHC slot;2;N/A;83,794 hits;"3.5""";320x480 pixels;256 MB RAM;Spreadtrum 7715;1300 mAh Li-Ion;GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2;;;2015, June. Released 2015, July;Discontinued;117.8 x 63 x 11.7 mm (4.64 x 2.48 x 0.46 in);98 g (3.46 oz);Dual SIM (Mini-SIM/ Micro-SIM);TFT, 256K colors;3.5 inches, 36.5 cm(~49.2% screen-to-body ratio);320 x 480 pixels, 3:2 ratio (~165 ppi density);microSDHC;512MB 256MB RAM;2 MP, AF;480p@30fps;No;Wi-Fi 802.11 a/b/g/n, hotspot;2.1, EDR;A-GPS only;No;Stereo FM radio;microUSB 2.0;Accelerometer;;Li-Ion 1300 mAh, removable;Up to 171 h (3G);Up to 3 h 30 min (3G);Black, White;HSDPA 850 / 1900 - SM35SH079;HSPA 21.1/5.76 Mbps;Android 4.4 (KitKat);Spreadtrum 7715;1.0 GHz Cortex-A7;Mali-400;LED flash, HDR;
https://www.gsmarena.com/parla_minu_p123-6826.php;https://fdn2.gsmarena.com/vv/bigpic/parla-P123.jpg;Parla Minu P123;Released 2014, November;73g without battery, 14mm thickness;Feature phone;32Mb 32Mb RAM storage, microSDHC slot;3;N/A;73,405 hits;"1.8""";128x160 pixels; ;;600 mAh Li-Ion;GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2;Yes;No;2014, September. Released 2014, November;Discontinued;106.5 x 45 x 14 mm (4.19 x 1.77 x 0.55 in);73 g without battery (2.57 oz);Dual SIM (Mini-SIM);TFT, 65K colors;1.8 inches, 10.2 cm(~21.3% screen-to-body ratio);128 x 160 pixels (~114 ppi density);microSDHC;32Mb 32Mb RAM;VGA;Yes;No;No;2.0;No;No;Stereo FM radio;microUSB;;Music playerVideo playerOrganizerVoice memoWhatsapp;Li-Ion 600 mAh, removable;Up to 200 h;Up to 4 h;Black, White;;;;;;;;Flashlight
https://www.gsmarena.com/parla_sonic_3_5-5855.php;https://fdn2.gsmarena.com/vv/bigpic/parla-sonic-3.5.jpg;Parla Sonic 3.5;Released 2013, Q4;105g, 11.6mm thickness;Android 4.1;512MB 512MB RAM storage, microSDHC slot;4;N/A;103,511 hits;"3.5""";320x480 pixels;512 MB RAM;Spreadtrum SC7710G;1300 mAh Li-Ion;GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2;;;2013, September. Released 2013, Q4;Discontinued;116 x 62.2 x 11.6 mm (4.57 x 2.45 x 0.46 in);105 g (3.70 oz);Dual SIM (Mini-SIM);TFT, 256K colors;3.5 inches, 36.5 cm(~50.6% screen-to-body ratio);320 x 480 pixels, 3:2 ratio (~165 ppi density);microSDHC (dedicated slot);512MB 512MB RAM;2 MP;480p@30fps;No;Wi-Fi 802.11 a/b/g/n, dual-band, hotspot;2.1, A2DP;No;No;Stereo FM radio;microUSB 2.0;Accelerometer, proximity;;Li-Ion 1300 mAh, removable;Up to 600 h (2G) / Up to 500 h (3G);Up to 16 h (2G) / Up to 6 h (3G);Black, White;HSDPA 850 / 1900 - SIM 1 only;HSPA 7.2/5.76 Mbps;Android 4.1 (Jelly Bean);Spreadtrum SC7710G;1.0 GHz Cortex-A5;Mali-300;;
https://www.gsmarena.com/parla_zum_bianco-5858.php;https://fdn2.gsmarena.com/vv/bigpic/parla-zum-bianco.jpg;Parla Zum Bianco;Released 2013, Q4;90g, 13.4mm thickness;Feature phone;32Mb 32Mb RAM storage, microSDHC slot;1;N/A;72,830 hits;"1.8""";128x160 pixels; ;;600 mAh Li-Ion;GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2;No;No;2013, September. Released 2013, Q4;Discontinued;103.8 x 45.8 x 13.4 mm (4.09 x 1.80 x 0.53 in);90 g (3.17 oz);Triple SIM (Mini-SIM);TFT, 65K colors;1.8 inches, 10.2 cm(~21.4% screen-to-body ratio);128 x 160 pixels (~114 ppi density);microSDHC (dedicated slot);32Mb 32Mb RAM;VGA;Yes;No;No;2.0;No;No;Stereo FM radio;miniUSB;;Music playerVideo player;Li-Ion 600 mAh, removable;Up to 230 h;Up to 6 h;White;;;;;;;;Flashlight
https://www.gsmarena.com/parla_minu-5854.php;https://fdn2.gsmarena.com/vv/bigpic/parla-minu.jpg;Parla Minu;Released 2013, Q4;70g, 13.7mm thickness;Feature phone;32Mb 32Mb RAM storage, microSDHC slot;1;N/A;70,224 hits;"1.8""";128x160 pixels; ;;600 mAh Li-Ion;GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2;Class 12;No;2013, September. Released 2013, Q4;Discontinued;110.6 x 46.4 x 13.7 mm (4.35 x 1.83 x 0.54 in);70 g (2.47 oz);Dual SIM (Mini-SIM);TFT, 65K colors;1.8 inches, 10.2 cm(~19.9% screen-to-body ratio);128 x 160 pixels (~114 ppi density);microSDHC (dedicated slot);32Mb 32Mb RAM;VGA;Yes;No;No;2.1, A2DP;No;No;Stereo FM radio;microUSB 2.0;;Music playerVideo playerOrganizerVoice memo;Li-Ion 600 mAh, removable;Up to 200 h;Up to 5 h;Black, White;;;;;;;;Flashlight
https://www.gsmarena.com/parla_gala-5011.php;https://fdn2.gsmarena.com/vv/bigpic/parla-gala-p730.jpg;Parla Gala;Released 2012, Q4;90g without battery, 12.9mm thickness;Feature phone;128Mb 64Mb RAM storage, microSDHC slot;12;N/A;132,684 hits;"2.3""";320x240 pixels; ;;800 mAh Li-Ion;GSM 850 / 900 / 1800 / 1900;Yes;Yes;2012, June. Released 2012, Q4;Discontinued;105.5 x 59 x 12.9 mm (4.15 x 2.32 x 0.51 in);90 g without battery (3.17 oz);Triple SIM (Mini-SIM);TFT, 65K colors;2.3 inches, 16.4 cm(~26.3% screen-to-body ratio);320 x 240 pixels, 4:3 ratio (~174 ppi density);microSDHC (dedicated slot);128Mb 64Mb RAM;2 MP;Yes;No;Wi-Fi 802.11 a/b/g;2.1, A2DP;No;No;Stereo FM radio;microUSB;;Analog TVFacebookMusic playerVideo playerOrganizerVoice memo;Li-Ion 800 mAh, removable;Up to 280 h;Up to 7 h;Black;;;;;;;LED flash;Flashlight
https://www.gsmarena.com/parla_spriz-5013.php;https://fdn2.gsmarena.com/vv/bigpic/parla-spriz-p430.jpg;Parla Spriz;Released 2012, Q4;90g without battery, 13mm thickness;Feature phone;128Mb 64Mb RAM storage, microSDHC slot;12;N/A;94,418 hits;"2.0""";320x240 pixels; ;;700 mAh Li-Ion;GSM 850 / 900 / 1800 / 1900;Yes;Yes;2012, June. Released 2012, Q4;Discontinued;104.6 x 57.2 x 13 mm (4.12 x 2.25 x 0.51 in);90 g without battery (3.17 oz);Triple SIM (Mini-SIM);TFT, 65K colors;2.0 inches, 12.4 cm(~20.7% screen-to-body ratio);320 x 240 pixels, 4:3 ratio (~200 ppi density);microSDHC (dedicated slot);128Mb 64Mb RAM;2 MP;Yes;No;No;2.1, A2DP;No;No;Stereo FM radio;microUSB;;Analog TVFacebookMusic playerVideo playerOrganizerVoice memo;Li-Ion 700 mAh, removable;Up to 260 h;Up to 6 h;Black, White;;;;;;;LED flash;Flashlight
https://www.gsmarena.com/parla_mist-5012.php;https://fdn2.gsmarena.com/vv/bigpic/parla-mist-p330.jpg;Parla Mist;Released 2012, Q4;90g without battery, 12.9mm thickness;Feature phone;32Mb 32Mb RAM storage, microSDHC slot;8;N/A;87,604 hits;"1.8""";160x128 pixels; ;;700 mAh Li-Ion;GSM 850 / 900 / 1800 / 1900;Class 12;No;2012, June. Released 2012, Q4;Discontinued;104.6 x 57 x 12.9 mm (4.12 x 2.24 x 0.51 in);90 g without battery (3.17 oz);Triple SIM (Mini-SIM);TFT, 65K colors;1.8 inches, 10.2 cm(~17.1% screen-to-body ratio);160 x 128 pixels (~114 ppi density);microSDHC (dedicated slot);32Mb 32Mb RAM;VGA;Yes;No;No;2.1, A2DP;No;No;"Stereo FM radio; built-in antenna";microUSB;;Music playerVideo playerOrganizerVoice memo;Li-Ion 700 mAh, removable;Up to 260 h;Up to 6 h;Black, White, Silver;;;;;;;LED flash;Flashlight
https://www.gsmarena.com/parla_zum-5014.php;https://fdn2.gsmarena.com/vv/bigpic/parla-zum-p130.jpg;Parla Zum;Released 2012, Q4;90g without battery, 13.4mm thickness;Feature phone;32Mb 16Mb RAM storage, microSDHC slot;10;N/A;99,742 hits;"1.8""";128x160 pixels; ;;700 mAh Li-Ion;GSM 850 / 900 / 1800 / 1900;No;No;2012, June. Released 2012, Q4;Discontinued;103.8 x 45.8 x 13.4 mm (4.09 x 1.80 x 0.53 in);90 g without battery (3.17 oz);Triple SIM (Mini-SIM);TFT, 65K colors;1.8 inches, 10.2 cm(~21.4% screen-to-body ratio);128 x 160 pixels (~114 ppi density);microSDHC (dedicated slot);32Mb 16Mb RAM;VGA;Yes;No;No;No;No;No;Stereo FM radio;miniUSB;;Music playerVideo playerOrganizerVoice memo;Li-Ion 700 mAh, removable;Up to 260 h;Up to 6 h;Black, White;;;;;;;;Flashlight
